Source | Destination | Message Type | Message Length | TimeStamp
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:42.500034
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:42.537266
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:42.537266
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:42.701840
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:42.701840
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:42.737973
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:42.737973
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:42.903017
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:42.903017
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:42.939151
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:42.939151
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:43.104133
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:43.104133
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:43.140266
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:43.140266
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:43.305832
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:43.305832
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:43.342180
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:43.342180
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:43.507165
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:43.507165
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:43.543998
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:43.543998
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:43.708909
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:43.708909
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:43.745328
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:43.745328
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:43.910479
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:43.910479
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:43.946967
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:43.946967
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:44.111691
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:44.111691
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:44.148802
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:44.148802
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:44.312953
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:44.312953
